            angle	  Ex=0.000(1d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
             16.40          0.054202          1.086000          0.429670          1.475000          0.596340          2.705000          1.059100          1.145300          1.547200          1.670300          2.441900          1.105500          2.740900          1.295500
             16.50          0.054643          1.040100          0.432750          1.416100          0.600020          2.603400          1.064600          1.151100          1.554400          1.678000          2.356100          1.109800          2.648300          1.299800
             16.60          0.055086          0.995500          0.435830          1.358800          0.603690          2.504600          1.070100          1.156900          1.561700          1.685600          2.272700          1.114100          2.558400          1.304100
             16.70          0.055531          0.952300          0.438910          1.303300          0.607350          2.408700          1.075600          1.162700          1.568900          1.693200          2.191700          1.118400          2.470900          1.308300
             16.80          0.055976          0.910430          0.441990          1.249400          0.611010          2.315700          1.081000          1.168400          1.576000          1.700800          2.113000          1.122700          2.386100          1.312500
             16.90          0.056422          0.869900          0.445060          1.197200          0.614650          2.225500          1.086400          1.174100          1.583100          1.708200          2.036800          1.126900          2.303700          1.316600
             17.00          0.056869          0.830690          0.448140          1.146700          0.618280          2.138200          1.091800          1.179700          1.590200          1.715700          1.962800          1.131000          2.223900          1.320600
             17.10          0.057316          0.792790          0.451200          1.097800          0.621890          2.053600          1.097100          1.185300          1.597200          1.723000          1.891200          1.135100          2.146500          1.324600
             17.20          0.057763          0.756210          0.454270          1.050600          0.625490          1.971800          1.102400          1.190900          1.604100          1.730300          1.821900          1.139200          2.071600          1.328600
             17.30          0.058210          0.720910          0.457320          1.005000          0.629070          1.892800          1.107700          1.196400          1.611000          1.737500          1.754900          1.143200          1.999100          1.332400
