            angle	  Ex=0.000(0d5/2)	  Ex=1.808(1s1/2)	  Ex=1.808(0d5/2)	  Ex=2.937(1s1/2)	  Ex=2.937(0d5/2)	  Ex=3.938(1s1/2)	  Ex=3.938(0d3/2)	  Ex=3.938(0d5/2)	  Ex=4.319(0d3/2)	  Ex=4.319(0d5/2)	  Ex=4.835(1s1/2)	  Ex=4.835(0d5/2)	  Ex=5.291(1s1/2)	  Ex=5.291(0d5/2)	
            36.20	         0.190430	         0.958440	         1.050200	         1.313300	         1.137400	         2.455700	         1.838200	         1.731800	         2.453100	         2.306600	         2.245600	         1.347300	         2.527300	         1.411500	
            36.30	         0.189200	         0.952020	         1.042200	         1.306400	         1.127800	         2.445500	         1.823200	         1.716100	         2.432500	         2.285100	         2.237900	         1.334400	         2.519400	         1.397600	
            36.40	         0.187980	         0.945390	         1.034100	         1.299200	         1.118200	         2.434800	         1.808200	         1.700400	         2.411800	         2.263600	         2.229800	         1.321500	         2.511000	         1.383700	
            36.50	         0.186750	         0.938560	         1.026100	         1.291800	         1.108600	         2.423500	         1.793200	         1.684700	         2.391200	         2.242200	         2.221300	         1.308500	         2.502200	         1.369800	
            36.60	         0.185510	         0.931530	         1.018000	         1.284000	         1.099000	         2.411800	         1.778100	         1.669000	         2.370500	         2.220800	         2.212300	         1.295700	         2.493000	         1.356000	
            36.70	         0.184280	         0.924310	         1.009900	         1.276000	         1.089400	         2.399600	         1.763100	         1.653300	         2.349900	         2.199400	         2.203000	         1.282800	         2.483300	         1.342200	
            36.80	         0.183040	         0.916900	         1.001800	         1.267800	         1.079800	         2.387000	         1.748100	         1.637600	         2.329300	         2.178000	         2.193200	         1.269900	         2.473100	         1.328400	
            36.90	         0.181790	         0.909300	         0.993740	         1.259200	         1.070200	         2.373900	         1.733100	         1.622000	         2.308700	         2.156700	         2.183100	         1.257100	         2.462600	         1.314700	
            37.00	         0.180550	         0.901530	         0.985640	         1.250500	         1.060600	         2.360300	         1.718100	         1.606300	         2.288200	         2.135400	         2.172500	         1.244300	         2.451600	         1.301000	
            37.10	         0.179300	         0.893580	         0.977530	         1.241500	         1.051000	         2.346300	         1.703200	         1.590700	         2.267600	         2.114100	         2.161600	         1.231600	         2.440200	         1.287300	
            37.20	         0.178050	         0.885450	         0.969430	         1.232200	         1.041500	         2.331800	         1.688200	         1.575100	         2.247100	         2.092900	         2.150300	         1.218800	         2.428400	         1.273700	
            37.30	         0.176800	         0.877170	         0.961320	         1.222700	         1.031900	         2.317000	         1.673300	         1.559600	         2.226600	         2.071800	         2.138700	         1.206100	         2.416200	         1.260100	
            37.40	         0.175540	         0.868720	         0.953220	         1.213000	         1.022300	         2.301700	         1.658300	         1.544100	         2.206200	         2.050600	         2.126600	         1.193500	         2.403600	         1.246600	
            37.50	         0.174290	         0.860120	         0.945110	         1.203100	         1.012800	         2.286000	         1.643400	         1.528600	         2.185800	         2.029600	         2.114300	         1.180900	         2.390700	         1.233100	
            37.60	         0.173030	         0.851370	         0.937010	         1.192900	         1.003200	         2.269900	         1.628600	         1.513100	         2.165400	         2.008600	         2.101600	         1.168300	         2.377300	         1.219700	
            37.70	         0.171770	         0.842470	         0.928920	         1.182500	         0.993720	         2.253400	         1.613700	         1.497700	         2.145100	         1.987600	         2.088500	         1.155700	         2.363600	         1.206300	
            37.80	         0.170520	         0.833430	         0.920830	         1.172000	         0.984220	         2.236600	         1.598900	         1.482300	         2.124900	         1.966700	         2.075100	         1.143200	         2.349600	         1.192900	
            37.90	         0.169260	         0.824260	         0.912750	         1.161200	         0.974730	         2.219400	         1.584100	         1.467000	         2.104600	         1.945900	         2.061400	         1.130800	         2.335200	         1.179700	
            38.00	         0.168000	         0.814970	         0.904680	         1.150200	         0.965270	         2.201800	         1.569400	         1.451700	         2.084500	         1.925200	         2.047400	         1.118400	         2.320400	         1.166500	
