        Ex        raw        sub        fit         f0         f1         f2         f3         f4         f5         f6
   1.92213  187.00000  141.02792  124.56338    0.00000    0.00000    0.00002   18.58142  105.98194    0.00000    0.00000
   1.95219  161.00000  114.88545  122.80565    0.00000    0.00000    0.00000    6.50644  116.29921    0.00000    0.00000
   1.98224  145.00000   98.74298  104.49302    0.00000    0.00000    0.00000    1.81028  102.68274    0.00000    0.00000
   2.01230  130.00000   83.60050   73.34500    0.00000    0.00000    0.00000    0.40021   72.94473    0.00007    0.00000
   2.04235   78.00000   31.45802   41.76452    0.00000    0.00000    0.00000    0.07030   41.69329    0.00094    0.00000
   2.07240   65.00000   18.31555   19.19373    0.00000    0.00000    0.00000    0.00981   19.17406    0.00985    0.00000
   2.10246   59.00000   12.17307    7.17664    0.00000    0.00000    0.00000    0.00109    7.09476    0.08078    0.00001
   2.13251   53.00000    6.03059    2.62786    0.00000    0.00000    0.00000    0.00010    2.11221    0.51548    0.00008
   2.16257   40.00000   -7.11188    3.06756    0.00000    0.00000    0.00000    0.00001    0.50596    2.56103    0.00057
   2.19262   53.00000    5.74564   10.00706    0.00000    0.00000    0.00000    0.00000    0.09751    9.90602    0.00352
   2.22268   87.00000   39.60317   29.86457    0.00000    0.00000    0.00000    0.00000    0.01512   29.83070    0.01875
   2.25273  127.00000   79.46069   70.02433    0.00000    0.00000    0.00000    0.00000    0.00189   69.93708    0.08537
   2.28279  186.00000  138.31821  127.98586    0.00000    0.00000    0.00000    0.00000    0.00019  127.65309    0.33258
   2.31284  231.00000  183.17574  182.50771    0.00000    0.00000    0.00000    0.00000    0.00002  181.39904    1.10865
   2.34290  255.00000  207.03326  203.84898    0.00000    0.00000    0.00000    0.00000    0.00000  200.68662    3.16236
   2.37295  210.00000  161.89078  180.57356    0.00000    0.00000    0.00000    0.00000    0.00000  172.85488    7.71869
   2.40301  172.00000  123.74831  132.03190    0.00000    0.00000    0.00000    0.00000    0.00000  115.91100   16.12090
   2.43306  144.00000   95.60583   89.32324    0.00000    0.00000    0.00000    0.00000    0.00000   60.51283   28.81041
   2.46311  137.00000   88.46336   68.65308    0.00000    0.00000    0.00000    0.00000    0.00000   24.59518   44.05790
   2.49317  114.00000   65.32088   65.43449    0.00000    0.00000    0.00000    0.00000    0.00000    7.78274   57.65175
   2.52322  117.00000   68.17841   66.47017    0.00000    0.00000    0.00000    0.00000    0.00000    1.91732   64.55285
   2.55328  103.00000   54.03593   62.21672    0.00000    0.00000    0.00000    0.00000    0.00000    0.36774   61.84899
   2.58333  110.00000   60.89345   50.76146    0.00000    0.00000    0.00000    0.00000    0.00000    0.05491   50.70655
   2.61339   81.00000   31.75098   35.57851    0.00000    0.00000    0.00000    0.00000    0.00000    0.00638   35.57212
   2.64344   65.00000   15.60850   21.35411    0.00000    0.00000    0.00000    0.00000    0.00000    0.00058   21.35353
   2.67350   59.00000    9.46603   10.96846    0.00000    0.00000    0.00000    0.00000    0.00000    0.00004   10.96842
   2.70355   60.00000   10.32355    4.82095    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    4.82095
   2.73361   52.00000    2.18107    1.81316    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    1.81316
   2.76366   52.00000    2.03860    0.58352    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.58352
   2.79372   62.00000   11.89612    0.16069    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.16069
   2.82377   48.00000   -2.24636    0.03786    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.03786
   2.85383   53.00000    2.61117    0.00763    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00763
   2.88388   49.00000   -1.53131    0.00132    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00132
   2.91393   64.00000   13.32621    0.00019    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00019
   2.94399   43.00000   -7.81626    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00002
   2.97404   43.00000   -7.95874    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.00410   53.00000    1.89879    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.03415   51.00000   -0.24369    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.06421   64.00000   12.61383    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.09426   60.00000    8.47136    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.12432   48.00000   -3.67112    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.15437   61.00000    9.18641    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.18443   49.00000   -2.95607    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.21448   67.00000   14.90145    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.24454   56.00000    3.75898    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.27459   47.00000   -5.38350    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.30464   57.00000    4.47403    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.33470   54.00000    1.33155    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.36475   55.00000    2.18907    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.39481   55.00000    2.04660    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.42486   53.00000   -0.09588    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.45492   50.00000   -3.23835    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
   3.48497   49.00000   -4.38083    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
