 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 15, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\208Pb_in_CD2.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  9.1300E-01 g/cm3 = 1.0284E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 150.00 MeV   1.045E+04  8.208E+01   27.53 um     7605 A      6455 A   
 160.00 MeV   1.068E+04  7.797E+01   28.47 um     7731 A      6515 A   
 170.00 MeV   1.089E+04  7.429E+01   29.39 um     7850 A      6571 A   
 180.00 MeV   1.106E+04  7.097E+01   30.29 um     7963 A      6622 A   
 200.00 MeV   1.135E+04  6.521E+01   32.06 um     8364 A      6717 A   
 225.00 MeV   1.162E+04  5.930E+01   34.23 um     8923 A      6823 A   
 250.00 MeV   1.181E+04  5.444E+01   36.35 um     9429 A      6917 A   
 275.00 MeV   1.193E+04  5.037E+01   38.45 um     9896 A      7004 A   
 300.00 MeV   1.202E+04  4.691E+01   40.53 um     1.03 um     7084 A   
 325.00 MeV   1.207E+04  4.392E+01   42.59 um     1.07 um     7159 A   
 350.00 MeV   1.210E+04  4.132E+01   44.65 um     1.11 um     7230 A   
 375.00 MeV   1.211E+04  3.904E+01   46.71 um     1.15 um     7298 A   
 400.00 MeV   1.210E+04  3.701E+01   48.77 um     1.19 um     7363 A   
 450.00 MeV   1.227E+04  3.356E+01   52.86 um     1.32 um     7485 A   
 500.00 MeV   1.236E+04  3.074E+01   56.91 um     1.44 um     7599 A   
 550.00 MeV   1.228E+04  2.838E+01   60.96 um     1.55 um     7706 A   
 600.00 MeV   1.220E+04  2.639E+01   65.04 um     1.66 um     7809 A   
 650.00 MeV   1.212E+04  2.467E+01   69.14 um     1.76 um     7909 A   
 700.00 MeV   1.204E+04  2.317E+01   73.27 um     1.85 um     8006 A   
 800.00 MeV   1.189E+04  2.070E+01   81.61 um     2.20 um     8193 A   
 900.00 MeV   1.174E+04  1.873E+01   90.06 um     2.50 um     8374 A   
   1.00 GeV   1.160E+04  1.712E+01   98.62 um     2.78 um     8551 A   
   1.10 GeV   1.147E+04  1.579E+01  107.27 um     3.04 um     8725 A   
   1.20 GeV   1.134E+04  1.466E+01  116.03 um     3.28 um     8896 A   
   1.30 GeV   1.121E+04  1.368E+01  124.89 um     3.51 um     9065 A   
   1.40 GeV   1.109E+04  1.284E+01  133.85 um     3.74 um     9234 A   
   1.50 GeV   1.096E+04  1.210E+01  142.91 um     3.95 um     9401 A   
   1.60 GeV   1.084E+04  1.145E+01  152.07 um     4.16 um     9568 A   
   1.70 GeV   1.072E+04  1.086E+01  161.34 um     4.36 um     9735 A   
   1.80 GeV   1.060E+04  1.034E+01  170.72 um     4.56 um     9902 A   
   2.00 GeV   1.036E+04  9.438E+00  189.79 um     5.30 um     1.02 um  
